RGD 1,RGD 2,RGD 3,RGD 4,RGD 5,RGD 6,RGD 7
129,130,120,125,123,122,130
134,137,130,127,128,127,137
145,138,140,134,135,132,144
150,137,143,146,136,137,151
159,138,147,158,136,142,158
161,137,160,161,136,147,165
163,138,164,173,136,152,172
