HBP 1,HBP 2,HBP 3,HBP 4,HBP 5,HBP 6,HBP 7
129.,130.,120.,120.,121.,122.,130.
134.,137.,133.,132.,128.,136.,132.
145.,144.,146.,146.,145.,150.,145.
157.,151.,158.,158.,152.,157.,150.
159.,158.,171.,170.,159.,159.,158.
181.,165.,184.,182.,166.,170.,169.
193.,190.,197.,194.,186.,190.,180.
